eLife_ID,Count.number.of.answers,Collector.ID,Start_Date,End_Date,Time.to.complete,Time,Pace,Provided_Support,Not_ProvidedSupport,Why_NoSupport_NoResponsibility,Why_NoSupport_Invasive,Why_NoSupport_NoNeed,Why_NoSupport_Difficult,Why_NoSupport_Know,Why_NoSupport_Time,Why_NoSupport_SomeoneElse,Why_NoSupport_Qualified,Why_NoSupport_Timing,Why_NoSupport_OwnMH,Why_NoSupport_Politics,Why_NoSupport_Unsure,Why_NoSupport_PNTA,Why_NoSupport_Other,Supporter_CareerStage,Supporter_Officially,Supporter_MH,Supporter_NumberReceivers,Supporter_Country,Supporter_Country_Typos,Receiver_CareerStage,Receiver_CareerStage_Other,Receiver_MH_Perfectionism,Receiver_MH_BurnOut,Receiver_MH_Depression,Receiver_MH_LowSE,Receiver_MH_Anxiety,Receiver_MH_Sleep,Receiver_MH_Panic,Receiver_MH_Suicide,Receiver_MH_SelfHarm,Receiver_MH_Bereavement,Receiver_MH_Substance,Receiver_MH_Eating,Receiver_MH_ADHD,Receiver_MH_Bipolar,Receiver_MH_PTSD,Receiver_MH_Personality,Receiver_MH_Unsure,Receiver_MH_PNTA,Receiver_MH_Other,Receiver_MHCauses_Progress,Receiver_MHCauses_Workload,Receiver_MHCauses_Conflict,Receiver_MHCauses_Bullying,Receiver_MHCauses_Isolation,Receiver_MHCauses_Homesick,Receiver_MHCauses_Funding,Receiver_MHCauses_Admin,Receiver_MHCauses_Sexual,Receiver_MHCauses_Racism,Receiver_MHCauses_Physical,Receiver_MHCauses_MHInstitution,Receiver_MHCauses_NonMHInstitution,Receiver_MHCauses_NotAcademia,Receiver_MHCauses_NotSure,Receiver_MHCauses_PNTA,Receiver_MHCauses_Other,Receiver_MHCauses_Other_Dummy,Receiver_ProfessionalHelp,Receiver_Missing_Personal,Receiver_Missing_Peers,Receiver_Missing_Managers,Receiver_Missing_Institutions,Receiver_Missing_Pro,Receiver_Missing_OutPro,Receiver_Missing_Other,Lenght_Support,Supporter_Actions_OpenUp,Supporter_Actions_Resources,Supporter_Actions_HelpResources,Supporter_Actions_Emotional,Supporter_Actions_Advice,Supporter_Actions_Work,Supporter_Actions_Personal,Supporter_Actions_Crisis,Supporter_Actions_Adjustments,Supporter_Actions_Advocacy,Supporter_Actions_Unsure,Supporter_Actions_PNTA,Supporter_Actions_Other,Supporter_Regrets,Comfortable_withMH,Confident_withMH,Impact_Draining,Impact_Time,Impact_Work,Impact_Personal,Impact_Rewarding,Impact_PositiveDifference,Impact_Beacon,FiveWords,FiveWords_Recoded,Support_Institution,Support_Colleagues,Support_Personal,Support_Receiver,Support_Emotional_No,Support_Emotional_NoFind,Support_Emotional_Institution,Support_Emotional_Colleagues,Support_Emotional_Personal,Support_Emotional_Unsure,Support_Emotional_PNTA,Support_Emotional_Other,Support_Practical,Support_Practical_Other,Advice_Colleagues,Advice_Personal,Advice_Communities,Advice_Written,Advice_Training,Advice_Professionals,Advice_Other,Main_Barriers_NotAvailable,Main_Barriers_NoFind,Main_Barriers_Time,Main_Barriers_Financial,Main_Barriers_NotUseful,Main_Barriers_NoPb,Main_Barriers_Other,Advice_Needed,Advice_Useful,All_Age,All_Gender,All_Gender_Other,All_Minority_No,All_Minority_Ethnicity,All_Minority_Gender,All_Minority_Sex,All_Minority_Disability,All_Minority_SES,All_Minority_Unsure,All_Minority_PNTA,All_Minority_Other,Minority_NoGender_Recoded,All_CurrentRole,All_CurrentRole_Other,All_ResearchField,All_ResearchField_Other,All_Competitiveness,All_ResearchCulture,All_MH,All_UnderstandingMH,Consent_Share,All_Comments,Receiver_CareerStage_clean,Why_NoSupport_Other_Dummy,Why_NoSupport_Answered_Sum,Why_NoSupport_Answered_YN,Receiver_MH_Other_Dummy,Receiver_MH_Answered_Sum,Receiver_MH_Answered_YN,Receiver_Missing_Other_Dummy,Receiver_Missing_Answered_Sum,Receiver_Missing_Answered_YN,Supporter_Actions_Other_Dummy,Supporter_Actions_Answered_Sum,Supporter_Actions_Answered_YN,Support_Emotional_Other_Dummy,Support_Emotional_Answered_Sum,Support_Emotional_Answered_YN,Support_Practical_Other_Dummy,Support_Practical_Answered_Sum,Support_Practical_Answered_YN,Advice_Colleagues_Other_Dummy,Advice_Colleagues_Other,Main_Barriers_Other_Dummy,Main_Barriers_Answered_Sum,Main_Barriers_Answered_YN,All_Gender_Other_Dummy,All_Gender_Answered_Sum,All_Gender_Answered_YN,All_Minority_Other_Dummy,All_Minority_Answered_Sum,All_Minority_Answered_YN,All_CurrentRole_Other_Dummy,All_CurrentRole_Answered_Sum,All_CurrentRole_Answered_YN,All_ResearchField_Other_Dummy,All_ResearchField_Answered_Sum,All_ResearchField_Answered_YN,Supporter_CareerStage_clean,All_Gender_clean,All_CurrentRole_clean
1,60,248048341,30/01/20 22:22,30/01/20 22:28,00:05:58,358,5.97,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,4,1,2,1,Puerto Rico,Puerto Rico,2,,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,,0.123691099,1,NA,NA,1,NA,1,1,,5,1,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,,,5,5,5,5,2,5,3,3,3,,,1,3,3,4,NA,NA,NA,1,NA,NA,NA,,4,,6,6,6,6,6,6,,NA,NA,NA,NA,1,1,,,,2,3,,NA,1,NA,NA,NA,NA,NA,NA,,2,4,,5,,5,5,5,5,2,,2,0,0,0,0,5,1,0,3,1,0,5,1,0,1,1,0,4,1,NA,NA,0,2,1,0,3,1,0,1,1,0,4,1,0,5,1,4,3,4
2,58,248048341,30/01/20 19:56,30/01/20 20:20,00:23:36,1416,24.41,3,4,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,,3,1,2,2,Hungary,Hungary,1,,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,1,NA,,4,1,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,,,5,5,1,2,1,4,5,5,1,"insightful, straight, clear, ambitious, effective",insightful straight clear ambitious effective,3,4,4,5,NA,1,NA,NA,NA,NA,NA,,4,,2,2,4,1,2,3,,1,NA,1,NA,1,NA,,imposter syndrome,,2,3,,1,NA,NA,NA,NA,NA,NA,NA,,1,3,,5,,4,5,5,5,2,,1,0,4,1,0,3,1,0,1,1,0,5,1,0,1,1,0,4,1,NA,NA,0,3,1,0,3,1,0,1,1,0,3,1,0,5,1,3,3,3
3,47,248048341,29/01/20 15:58,29/01/20 16:20,00:22:07,1327,28.23,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,3,1,2,2,USA,USA,NA,Multiple people: Masters & PhDs,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,3,NA,1,NA,1,NA,NA,,2,NA,1,NA,1,1,1,NA,NA,NA,1,NA,NA,,,5,4,4,2,1,1,5,5,5,"Necessary, important, revealing",Necessary important revealing,3,3,4,5,NA,NA,NA,1,NA,NA,NA,,2,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,3,1,,NA,NA,NA,1,1,NA,NA,NA,,2,3,,5,,1,3,5,5,2,Academia itself needs an overhaul. It_„_s an outdated system of who-knows-whom patronage that suffers from cultural inertia and is influenced far too greatly by the whims of unassailable (read: tenured) gatekeepers.,NA,0,0,0,0,2,1,0,2,1,0,5,1,0,1,1,0,2,1,NA,NA,0,0,0,0,1,1,0,2,1,0,3,1,0,5,1,3,1,3
4,39,248048341,29/01/20 10:33,29/01/20 10:45,00:12:10,730,18.72,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9,1,2,2,,,1,,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,,2,NA,NA,NA,NA,NA,NA,,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,,,3,4,4,4,1,1,5,5,1,,,1,1,1,4,NA,1,NA,NA,NA,NA,NA,,2,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,5,3,,NA,1,NA,NA,NA,NA,NA,NA,,2,9,,10,,5,4,5,3,NA,,1,0,0,0,0,3,1,0,0,0,0,2,1,0,1,1,0,2,1,NA,NA,0,0,0,0,3,1,0,1,1,0,9,1,0,10,1,9,3,9
5,78,248311715,29/01/20 05:13,29/01/20 05:22,00:09:35,575,7.37,4,3,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,,3,1,2,2,[REDACTED FOR ANONYMITY],[REDACTED FOR ANONYMITY],3,,NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,1,1,1,NA,1,1,NA,1,NA,NA,NA,,,1,1,1,1,1,1,1,,5,1,1,NA,1,1,1,NA,NA,1,NA,NA,NA,,,2,2,5,5,4,4,4,4,6,,,6,6,6,3,NA,NA,NA,NA,1,NA,NA,,3,,3,4,3,3,3,3,,1,1,1,NA,1,NA,,,,2,3,,NA,1,1,NA,NA,1,NA,NA,,2,3,,5,,5,5,5,4,1,,3,0,4,1,0,5,1,0,6,1,0,6,1,0,1,1,0,3,1,NA,NA,0,4,1,0,3,1,0,3,1,0,3,1,0,5,1,3,3,3
6,47,248311715,29/01/20 03:07,29/01/20 04:12,01:05:08,3908,83.15,3,3,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,,3,1,2,2,,,3,,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,,3,NA,NA,1,NA,NA,NA,,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,5,3,3,4,3,4,5,5,3,heartbreaking Necessary,heartbreaking Necessary,3,3,4,4,1,NA,NA,NA,NA,NA,NA,,2,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,2,1,,NA,1,NA,NA,NA,NA,NA,NA,Hispanic,2,3,,5,,3,2,5,5,2,"My mother passed away when I was 21. When I heard my fellow PhD colleague's family member had passed, then he was kicked out of the lab, I walked that him to a counseling program on campus. He later found a lab and pulled it together. It definitely better do have done something, than to later hear about my colleague dropping out of the program.",3,0,3,1,0,2,1,0,1,1,0,3,1,0,0,0,0,2,1,NA,NA,0,0,0,0,1,1,1,2,1,0,3,1,0,5,1,3,1,3
7,61,248048473,27/01/20 15:20,27/01/20 15:33,00:13:01,781,12.8,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8,1,2,2,USA,USA,2,,1,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,,,2,NA,NA,1,NA,NA,NA,,5,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,,,2,1,5,5,5,5,5,5,5,,,2,5,5,5,NA,NA,NA,NA,NA,1,NA,,3,,3,4,4,4,3,5,,NA,1,1,NA,NA,NA,,"feeling like it was ok to be 1) physically gone from the office, 2) less productive bc of my response to the event",friends,3,3,,NA,NA,1,NA,NA,NA,NA,NA,,NA,9,,17,,4,5,5,4,2,"We all do and we all need help with ""newer"" sensitive situations, like gender issues. I feel tongue-tied bc I don't want to say the wrong thing and hurt the person more. Also, with workload or work-life balance. I advocate for grad students to pursue being a a well-rounded person not just a research robot. This is not supported by my superiors, and makes me feel jeopardy in my job.",2,0,0,0,0,7,1,0,1,1,0,5,1,0,1,1,0,3,1,NA,NA,0,2,1,0,3,1,0,1,1,0,9,1,0,17,1,8,3,9
8,65,248048294,27/01/20 14:31,27/01/20 14:38,00:07:12,432,6.65,3,4,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,,3,1,2,2,,,5,,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,,,3,NA,1,1,1,1,NA,,3,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,,,4,3,6,6,6,5,4,6,6,,,1,1,6,6,NA,NA,NA,NA,1,NA,NA,,3,,2,4,5,2,2,3,,1,1,NA,NA,1,NA,,,,2,3,,NA,NA,NA,NA,NA,NA,NA,1,,NA,3,,5,,5,5,5,4,2,,5,0,4,1,0,5,1,0,4,1,0,5,1,0,1,1,0,3,1,NA,NA,0,3,1,0,3,1,0,1,1,0,3,1,0,5,1,3,3,3
9,55,247890590,25/01/20 23:57,26/01/20 00:14,00:17:12,1032,18.76,3,3,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,,4,1,2,2,UK,UK,5,,NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,,,2,NA,1,1,NA,NA,NA,,2,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,,,5,4,3,3,1,5,5,4,4,Emotions Sharing Friendship,Emotions Sharing Friendship,3,1,5,5,NA,NA,NA,NA,1,NA,NA,From the PI,1,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,2,3,,NA,NA,NA,NA,NA,1,NA,NA,,2,4,,5,,5,5,5,5,2,That person told me she was not feeling confortable talking to our PI because he once made a joke about a mental health issues,5,0,4,1,0,5,1,0,2,1,0,4,1,1,2,1,0,1,1,NA,NA,0,0,0,0,3,1,0,1,1,0,4,1,0,5,1,4,3,4
10,12,248048758,21/01/20 02:29,21/01/20 02:52,00:22:40,1360,113.33,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,3,3,,1,NA,NA,NA,NA,NA,NA,NA,,1,6,,5,,5,4,4,4,2,"I have had the opportunity to work with diferent rols at four different lab's research where I have dealed with competition and toxic atmosphere. The lab's are located in 3 different countries. There is one of them where the atmosphere was remarkable because let's called ""the democracy"" to use all robust equipments is open to all research groups, whose management is done by experts ir trained people who has clear that their goal is to support all users as consequence everybody take care of the equipment evenmore a network is constantly created. I am glad that the opportunity to work there because I could experience that humans could actually work in a cooperative community.",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,3,1,0,1,1,0,6,1,0,5,1,NA,3,6
