Question number,New Question Label,Question,Type of question,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Q01,Provided_Support,I have provided support to someone who was doing research and who was struggling with their mental health: ,Forced choice,,No,"Yes, to one individual","Yes, to between one and five individuals","Yes, to more than five individuals",I am not sure,Prefer not to answer,,,,,,,,,,,,,
Q02,Not_ProvidedSupport,"I have been in a situation when I thought someone in academia needed help, but I couldn’t or didn’t provide support:",Forced choice,,No,"Yes, once","Yes, a few times","Yes, often",I am not sure,Prefer not to answer,,,,,,,,,,,,,
Q03,,If yes: I didn’t provide support because (tick all that applies),Select Multiple,,,,,,,,,,,,,,,,,,,,
Q3-Choice1,Why_NoSupport_NoResponsibility,I didn't think it was my responsibility,,,,,,,,,,,,,,,,,,,,,
Q3-Choice2,Why_NoSupport_Invasive,I didn't want to be invasive,,,,,,,,,,,,,,,,,,,,,
Q3-Choice3,Why_NoSupport_NoNeed,I wasn’t sure the person actually needed help,,,,,,,,,,,,,,,,,,,,,
Q3-Choice4,Why_NoSupport_Difficult,"The person was difficult to approach, or I didn’t think they wanted to be approached",,,,,,,,,,,,,,,,,,,,,
Q3-Choice5,Why_NoSupport_Know,I didn’t know what to do,,,,,,,,,,,,,,,,,,,,,
Q3-Choice6,Why_NoSupport_Time,I didn’t have time to help,,,,,,,,,,,,,,,,,,,,,
Q3-Choice7,Why_NoSupport_SomeoneElse,I was already supporting someone else (in or out of the lab),,,,,,,,,,,,,,,,,,,,,
Q3-Choice8,Why_NoSupport_Qualified,I felt someone else was in a better position to intervene,,,,,,,,,,,,,,,,,,,,,
Q3-Choice9,Why_NoSupport_Timing,The timing was wrong (e.g. you were about to leave the lab),,,,,,,,,,,,,,,,,,,,,
Q3-Choice10,Why_NoSupport_OwnMH,"I was struggling with my own mental wellbeing, or did not have the emotional resources required",,,,,,,,,,,,,,,,,,,,,
Q3-Choice11,Why_NoSupport_Politics,Intervening would have put me in a complicated position (e.g. helping the person may have been construed as taking a side in a conflict).,,,,,,,,,,,,,,,,,,,,,
Q3-Choice12,Why_NoSupport_Unsure,I am not sure,,,,,,,,,,,,,,,,,,,,,
Q3-Choice13,Why_NoSupport_PNTA,Prefer not to answer,,,,,,,,,,,,,,,,,,,,,
Q3-Choice14,Why_NoSupport_Other,Other (please specify),,,,,,,,,,,,,,,,,,,,,
Q3r1,Why_NoSupport_Other_Dummy,"Recodes the free text in the ""other category"" so the code can count it",,,,,,,,,,,,,,,,,,,,,
Q3r2,Why_NoSupport_Answered_Sum,How many answers people gave,,,,,,,,,,,,,,,,,,,,,
Q3r3,Why_NoSupport_Answered_YN,Whether a given participant answered the question at all,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,
Q04,Supporter_CareerStage,"During my supporting role, I was:",Forced choice + Other,Other,An undergraduate student,A Masters student (research or taught Masters),A PhD student,A postdoctoral researcher (postdoc),"A technician, research assistant, lab manager, field coordinator or other lab staff",An independent researcher or a group leader (less than 5 years’ experience),An independent researcher or a group leader (5 to 10 years’ experience),An independent researcher or a group leader (10 or more years’ experience),A non-academic staff member in contact with people doing research (e.g. university admin staff),Not in academia,Prefer not to answer,Academic Admin Staff (RECODED),Other academic staff (research and teaching) (RECODED),,,,,,
Q4r1,Supporter_CareerStage_clean,Recoded Q04,,Other,An undergraduate student,A Masters student (research or taught Masters),A PhD student,A postdoctoral researcher (postdoc),"A technician, research assistant, lab manager, field coordinator or other lab staff",An independent researcher or a group leader (less than 5 years’ experience),An independent researcher or a group leader (5 to 10 years’ experience),An independent researcher or a group leader (10 or more years’ experience),A non-academic staff member in contact with people doing research (e.g. university admin staff),Not in academia,Prefer not to answer,Academic Admin Staff (RECODED),Other academic staff (research and teaching) (RECODED),,,,,,
Q05,Supporter_Officially,It was part of my official job description to be in charge of the person I helped:,Forced choice,,No,Yes,I am not sure,Prefer not to answer,,,,,,,,,,,,,,,
Q06,Supporter_MH,"As I was providing support, I was struggling with my own mental health:",Forced choice,,No,Yes,I am not sure,Prefer not to answer,,,,,,,,,,,,,,,
Q07,Supporter_NumberReceivers,I was helping more than one person at the same time (in my professional and personal life):,Forced choice,,No,Yes,I am not sure,Prefer not to answer,,,,,,,,,,,,,,,
Q08,Supporter_Country,"When I provided support, I was working in the following country:",Open,,,,,,,,,,,,,,,,,,,,
