"","hs_complete","taken_comp_classes","work_computer","computer_hours","income","job_satisfaction","retired_tech","computer_unemployment","computers_add_jobs","science_better","satisfaction_binomial","satisfaction_binom"
"1","Yes","No","No",0,1750,"Strongly satisfied",NA,NA,"Somewhat disagree","No opinion","Strongly satisfied",1
"2","Yes","No","No",0,24000,"Strongly satisfied",NA,"No","Strongly agree","Somewhat disagree","Strongly satisfied",1
"3","No","No","Yes",40,15000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"4","Yes","Yes","No",0,25000,"Strongly dissatisfied",NA,NA,"Strongly agree","Strongly agree","Strongly dissatisfied",0
"5","Yes","No","Yes",10,15000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"6","Yes","No","Yes",33,17000,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat dissatisfied",0
"7","No","No","Yes",3,40000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"8","Yes","Yes","No",0,0,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"9","Yes","No","Yes",40,17000,"Strongly dissatisfied",NA,NA,"No opinion","Somewhat agree","Strongly dissatisfied",0
"10","Yes","Yes","Yes",40,53000,"Somewhat dissatisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat dissatisfied",0
"11","Yes","Yes","Yes",12,26000,"Somewhat satisfied",NA,NA,"No opinion","Strongly agree","Somewhat satisfied",1
"12","Yes","No","Yes",5,39000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"13","Yes","No","No",0,1600,"Strongly satisfied",NA,NA,"No opinion","Strongly agree","Strongly satisfied",1
"14","Yes","No","No",0,8000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"15","Yes","No","Yes",30,36000,"Strongly satisfied",NA,"No","Somewhat agree","Somewhat agree","Strongly satisfied",1
"16","No","No","Yes",3,25500,"Strongly satisfied",NA,NA,"Strongly disagree","No opinion","Strongly satisfied",1
"17","Yes","Yes","Yes",10,40000,"Somewhat satisfied",NA,NA,"No opinion","Strongly agree","Somewhat satisfied",1
"18","No","No","No",0,1000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"19","No","No","Yes",4,34000,"Strongly satisfied",NA,NA,"No opinion","Somewhat agree","Strongly satisfied",1
"20","Yes","Yes","No",0,0,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"21","Yes","Yes","Yes",28,23000,"Strongly satisfied",NA,NA,"No opinion","Strongly agree","Strongly satisfied",1
"22","Yes","No","No",0,0,"Strongly satisfied","No",NA,"No opinion","Somewhat agree","Strongly satisfied",1
"23","Yes","Yes","Yes",2,40000,"Strongly satisfied",NA,"No","Somewhat agree","Strongly agree","Strongly satisfied",1
"24","No","No","No",0,18000,"Strongly satisfied","No",NA,"No opinion","Somewhat agree","Strongly satisfied",1
"25","Yes","Yes","Yes",25,30000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
